source_type,edge_count
biolink:MolecularActivity,15902
biolink:Event,66
biolink:SmallMolecule,343392
biolink:Cohort,22967
biolink:NucleicAcidEntity,11366
biolink:Food,10642
biolink:PhysicalEntity,2593
biolink:PhenotypicFeature,764532
biolink:OrganismTaxon,57397
biolink:Protein,2580422
biolink:Device,35876
biolink:AnatomicalEntity,6081
biolink:GeneFamily,263
biolink:Human,379
biolink:BehavioralFeature,34
biolink:ClinicalAttribute,6595
biolink:ComplexMolecularMixture,4621
biolink:IndividualOrganism,24
biolink:GeographicLocation,5
biolink:ChemicalMixture,381
biolink:PhysiologicalProcess,12378
biolink:Behavior,5420
biolink:BiologicalProcess,61468
biolink:Cell,15664
biolink:EnvironmentalProcess,1
biolink:Disease,1359270
biolink:Polypeptide,8183
biolink:Activity,45690
biolink:PathologicalProcess,424
biolink:DiseaseOrPhenotypicFeature,1945
biolink:CellularComponent,3361
biolink:GrossAnatomicalStructure,1966
biolink:Phenomenon,12932
biolink:NamedThing,39203
biolink:GenomicEntity,36749
biolink:Drug,858098
biolink:PopulationOfIndividualOrganisms,2742
biolink:MolecularMixture,29724
biolink:Pathway,823
biolink:Agent,327
biolink:ChemicalEntity,208213
biolink:Procedure,433619
biolink:Publication,2675
biolink:CellLine,291
biolink:ChemicalExposure,224
biolink:InformationContentEntity,11828
biolink:Treatment,4
biolink:Gene,105902
biolink:BiologicalEntity,4647
