target_type,edge_count
biolink:ChemicalEntity,5283
biolink:ChemicalExposure,224
biolink:Procedure,3360
biolink:Publication,22332
biolink:MolecularMixture,820
biolink:Pathway,846
biolink:Agent,4209
biolink:GrossAnatomicalStructure,149469
biolink:Gene,9073
biolink:BiologicalEntity,4118
biolink:DiseaseOrPhenotypicFeature,2032
biolink:CellularComponent,7981
biolink:PhysiologicalProcess,13716
biolink:Behavior,3078
biolink:Disease,1298110
biolink:Activity,4816
biolink:Polypeptide,100
biolink:PathologicalProcess,14
biolink:SmallMolecule,11069
biolink:Cohort,121518
biolink:BehavioralFeature,44
biolink:Drug,94203
biolink:PopulationOfIndividualOrganisms,80848
biolink:InformationContentEntity,9229
biolink:AnatomicalEntity,114342
biolink:Device,114
biolink:Human,5216
biolink:ComplexMolecularMixture,548
biolink:GeographicLocation,5
biolink:IndividualOrganism,34
biolink:Phenomenon,7468
biolink:ClinicalAttribute,1263
biolink:MolecularActivity,11111
biolink:Event,32
biolink:NamedThing,37940
biolink:GenomicEntity,950
biolink:PhenotypicFeature,780026
biolink:OrganismTaxon,99573
biolink:Protein,291436
biolink:PhysicalEntity,10
biolink:NucleicAcidEntity,2984
biolink:Food,23
biolink:Cell,19750
biolink:BiologicalProcess,63216
