source_type,edge_count
biolink:SmallMolecule,823849
biolink:Cohort,1397
biolink:ChemicalMixture,371
biolink:ComplexMolecularMixture,1460
biolink:IndividualOrganism,2
biolink:GeographicLocation,1
biolink:Food,950
biolink:NucleicAcidEntity,1098
biolink:Gene,5572
biolink:BiologicalEntity,346
biolink:GrossAnatomicalStructure,4511
biolink:MolecularEntity,8
biolink:NamedThing,2359
biolink:GenomicEntity,997
biolink:CellularComponent,1442
biolink:PhysicalEntity,362
biolink:ChemicalEntity,124558
biolink:Procedure,79966
biolink:Publication,176
biolink:ChemicalExposure,8
biolink:Treatment,1
biolink:ClinicalAttribute,251
biolink:PhenotypicFeature,34875
biolink:OrganismTaxon,3735
biolink:Protein,213989
biolink:Drug,1721535
biolink:PopulationOfIndividualOrganisms,596
biolink:AnatomicalEntity,2879
biolink:Device,5940
biolink:GeneFamily,2
biolink:Human,102
biolink:Phenomenon,333
biolink:InformationContentEntity,2083
biolink:MolecularMixture,49817
biolink:Pathway,9128
biolink:Agent,53
biolink:PhysiologicalProcess,583
biolink:Behavior,68
biolink:Cell,6058
biolink:BiologicalProcess,5269
biolink:MolecularActivity,9107
biolink:Disease,79183
biolink:Polypeptide,1193
biolink:Activity,7800
