target_type,edge_count
biolink:BiologicalProcess,83378
biolink:Cell,40369
biolink:IndividualOrganism,62
biolink:ComplexMolecularMixture,1491
biolink:ChemicalMixture,403
biolink:GeographicLocation,4
biolink:AnatomicalEntity,42599
biolink:Human,1167
biolink:Device,9852
biolink:GeneFamily,503
biolink:MolecularActivity,22355
biolink:Event,10
biolink:Behavior,4218
biolink:PhysiologicalProcess,1987
biolink:ClinicalAttribute,3578
biolink:GrossAnatomicalStructure,45068
biolink:MolecularEntity,403
biolink:Disease,783338
biolink:Polypeptide,1829
biolink:Activity,1613
biolink:PathologicalProcess,12
biolink:NamedThing,4494
biolink:GenomicEntity,1397
biolink:PhenotypicFeature,335431
biolink:Protein,633636
biolink:OrganismTaxon,39468
biolink:CellularComponent,13019
biolink:DiseaseOrPhenotypicFeature,853
biolink:Drug,1723097
biolink:PopulationOfIndividualOrganisms,11764
biolink:Phenomenon,10246
biolink:MolecularMixture,48830
biolink:Pathway,21
biolink:Agent,1052
biolink:NucleicAcidEntity,1208
biolink:Food,259
biolink:ChemicalEntity,157727
biolink:Procedure,19247
biolink:Publication,5796
biolink:CellLine,2
biolink:ChemicalExposure,8
biolink:PhysicalEntity,147
biolink:SmallMolecule,818818
biolink:Cohort,17698
biolink:BiologicalEntity,3941
biolink:Gene,7321
biolink:InformationContentEntity,9605
