predicate,count
biolink:has_output,81249
biolink:has_input,104029
biolink:affects_response_to,5444
biolink:treats_or_applied_or_studied_to_treat,334774
biolink:decreases_response_to,3367
biolink:positively_correlated_with,3938
biolink:occurs_in,261263
biolink:located_in,233587
biolink:composed_primarily_of,282
biolink:disrupts,293
biolink:coexpressed_with,9198536
biolink:actively_involved_in,986580
biolink:capable_of,1113
biolink:coexists_with,915
biolink:acts_upstream_of_or_within_positive_effect,39
biolink:acts_upstream_of_positive_effect,100
biolink:has_adverse_event,202041
biolink:associated_with,1060
biolink:target_for,6218
biolink:applied_to_treat,1889
biolink:manifestation_of,363
biolink:predisposes_to_condition,34
biolink:in_taxon,134667
biolink:disease_has_basis_in,2912
biolink:in_complex_with,2
biolink:diagnoses,1
biolink:chemically_similar_to,19922
biolink:subclass_of,3417231
biolink:has_participant,557814
biolink:affects,3664012
biolink:similar_to,6935
biolink:has_metabolite,93
biolink:related_to,562195
biolink:has_part,194092
biolink:increases_response_to,2936
biolink:correlated_with,86537
biolink:produces,138
biolink:regulates,768686
biolink:contributes_to,180386
biolink:develops_from,24772
biolink:expressed_in,1014512
biolink:causes,140022
biolink:genetically_associated_with,169538
biolink:physically_interacts_with,1413479
biolink:catalyzes,272426
biolink:precedes,70837
biolink:colocalizes_with,862
biolink:active_in,18991
biolink:acts_upstream_of,466
biolink:temporally_related_to,22974
biolink:overlaps,8190
biolink:negatively_correlated_with,973
biolink:has_phenotype,565487
biolink:contraindicated_in,25678
biolink:treats,9657
biolink:preventative_for_condition,37
biolink:ameliorates_condition,390
biolink:gene_associated_with_condition,6013
biolink:directly_physically_interacts_with,1099210
biolink:genetically_interacts_with,147139
biolink:homologous_to,230510
biolink:gene_product_of,343
biolink:derives_from,63
biolink:has_active_ingredient,4
biolink:acts_upstream_of_negative_effect,31
biolink:enables,2
biolink:acts_upstream_of_or_within_negative_effect,9
biolink:interacts_with,2
