category,count
biolink:SmallMolecule,1342708
biolink:Drug,2542
biolink:MolecularMixture,22254
biolink:ChemicalEntity,13981
biolink:ChemicalMixture,499
biolink:Cell,4953
biolink:Disease,46765
biolink:PhenotypicFeature,38105
biolink:Protein,332119
biolink:Gene,26773
biolink:MolecularActivity,97621
biolink:BiologicalProcess,25913
biolink:CellularComponent,5369
biolink:Pathway,51730
biolink:GeneFamily,27820
biolink:ComplexMolecularMixture,60
biolink:OrganismTaxon,2591207
biolink:AnatomicalEntity,7582
biolink:GrossAnatomicalStructure,10404
biolink:PhysiologicalProcess,39
biolink:ClinicalAttribute,6
biolink:Activity,5
biolink:Procedure,132
biolink:BiologicalEntity,10
biolink:ActivityAndBehavior,3
biolink:Behavior,26
biolink:Device,2
biolink:Phenomenon,6
biolink:NucleicAcidEntity,1
biolink:InformationContentEntity,5
