primary_knowledge_source,count
infores:hmdb,1411447
infores:ctd,199509
infores:reactome,524044
infores:panther,682916
infores:sgd,12730
infores:rgd,7030
infores:flybase,22589
infores:hgnc,31382
infores:uniprot,6403
infores:disgenet,73560
infores:omim,144409
infores:faers,202041
infores:diseases,12351
infores:eram,12943
infores:bindingdb,1773164
infores:intact,1132338
infores:gtopdb,17765
infores:iptmnet,2006
infores:tissues-expression-db,157013
infores:ubergraph,3653849
infores:hetionet,917704
infores:lincs,544979
infores:text-mining-provider-targeted,1378030
infores:drugmechdb,13128
infores:bgee,869866
infores:string,10897697
infores:goa,312346
infores:signor,44353
infores:zfin,45651
infores:go,2448
infores:mgi,102002
infores:hpo-annotations,308176
infores:orphanet,112213
infores:sider,131869
infores:drugcentral,46460
infores:mondo,1059
infores:monarchinitiative,8684
infores:tiga,23376
infores:psite-plus,7145
infores:epsd,5569
infores:pharos,400242
infores:chembl,14981
infores:kegg,25
infores:pdsp,734
infores:drugbank,64
