predicate,count
biolink:close_match,1128239
biolink:produces,390545
biolink:has_member,11434
biolink:located_in,3129260
biolink:disease_has_location,2119
biolink:gene_associated_with_condition,1811000
biolink:treats_or_applied_or_studied_to_treat,1559980
biolink:preventative_for_condition,240840
biolink:capable_of,7371
biolink:actively_involved_in,24116
biolink:disrupts,604639
biolink:colocalizes_with,39599
biolink:has_decreased_amount,135
biolink:has_not_completed,44
biolink:correlated_with,2217
biolink:in_taxon,278355
biolink:subclass_of,4195935
biolink:has_input,869282
biolink:has_participant,5722093
biolink:physically_interacts_with,487780
biolink:has_output,450779
biolink:chemically_similar_to,20851
biolink:precedes,168135
biolink:develops_from,9147
biolink:model_of,38
biolink:temporally_related_to,832
biolink:directly_physically_interacts_with,10824
biolink:has_plasma_membrane_part,1078
biolink:contraindicated_in,23971
biolink:ameliorates_condition,10
biolink:interacts_with,4654254
biolink:derives_from,73253
biolink:applied_to_treat,9298
biolink:drug_regulatory_status_world_wide,9252
biolink:catalyzes,163
biolink:expressed_in,7552
biolink:biomarker_for,52107
biolink:disease_has_basis_in,6
biolink:gene_product_of,74549
biolink:coexists_with,1928757
biolink:same_as,33022
biolink:has_metabolite,1681
biolink:overlaps,38776
biolink:has_phenotype,65902
biolink:regulates,31884
biolink:manifestation_of,175562
biolink:predisposes_to_condition,360161
biolink:transcribed_from,269941
biolink:lacks_part,7789
biolink:exacerbates_condition,50416
biolink:is_sequence_variant_of,36316
biolink:translates_to,48371
biolink:beneficial_in_models_for,1
biolink:has_molecular_consequence,74
biolink:has_part,1539612
biolink:related_to,3204167
biolink:affects,4826709
biolink:associated_with,1003045
biolink:occurs_in,5204107
biolink:composed_primarily_of,1596
biolink:causes,1055680
biolink:contributes_to,4946
biolink:diagnoses,313411
biolink:enables,70763
biolink:has_increased_amount,164
biolink:homologous_to,29
biolink:mentions,14
biolink:treats,12
biolink:indirectly_physically_interacts_with,3
