category,count
biolink:AnatomicalEntity,119850
biolink:Gene,338792
biolink:SmallMolecule,2653626
biolink:Polypeptide,2454
biolink:BiologicalEntity,47342
biolink:ChemicalMixture,522
biolink:GeneFamily,359
biolink:NucleicAcidEntity,1850
biolink:Phenomenon,3896
biolink:Disease,105220
biolink:GeographicLocation,4812
biolink:PathologicalProcess,8179
biolink:PhysiologicalProcess,20886
biolink:Device,26687
biolink:Cohort,2970
biolink:Activity,8612
biolink:IndividualOrganism,606
biolink:Behavior,2877
biolink:MolecularActivity,231507
biolink:Food,2869
biolink:Event,117
biolink:RetrievalSource,68
biolink:Treatment,73
biolink:ComplexMolecularMixture,162
biolink:MicroRNA,1907
biolink:BehavioralFeature,175
biolink:RNAProduct,37
biolink:ClinicalAttribute,12705
biolink:Human,39
biolink:MaterialSample,14
biolink:NamedThing,88594
biolink:InformationContentEntity,27402
biolink:Drug,72489
biolink:ChemicalEntity,298608
biolink:PhysicalEntity,6114
biolink:Cell,6324
biolink:MolecularMixture,120003
biolink:MolecularEntity,10161
biolink:Protein,224097
biolink:CellLine,1479
biolink:OrganismTaxon,1338629
biolink:Procedure,234920
biolink:GrossAnatomicalStructure,15373
biolink:CellularComponent,9008
biolink:DiseaseOrPhenotypicFeature,6938
biolink:Agent,2063
biolink:Publication,30935
biolink:PopulationOfIndividualOrganisms,4722
biolink:PhenotypicFeature,105404
biolink:BiologicalProcess,29206
biolink:Transcript,269904
biolink:Pathway,97809
biolink:LifeStage,11
biolink:OrganismAttribute,350
biolink:GenomicEntity,38799
biolink:ClinicalIntervention,14
biolink:EnvironmentalFeature,1
biolink:Exon,1
biolink:EnvironmentalProcess,67
