primary_knowledge_source,count
infores:mondo,97973
infores:go-plus,187460
infores:umls-metathesaurus,501651
infores:medrt-umls,85054
infores:chembl,66176
infores:psy-umls,32671
infores:fma-umls,242079
infores:icd9cm-umls,31377
infores:dgidb,54765
infores:hl7-umls,9624
infores:cl,45112
infores:efo,71104
infores:uberon,74006
infores:ncit,1022390
infores:kegg,19333
infores:go,196893
infores:hcp-codes-umls,8198
infores:ordo,49855
infores:mirbase,3302
infores:ncbi-taxon,30906
infores:icd10pcs-umls,191416
infores:ino,399
infores:pato,18423
infores:uniprot,72069
infores:reactome,182303
infores:semmeddb,20776885
infores:pdq-umls,27069
infores:vandf-umls,54132
infores:rxnorm,101585
infores:chv-umls,27804
infores:medlineplus,9755
infores:fma-obo,119645
infores:goa,298551
infores:repodb,8850
infores:ncbi-taxonomy,1323818
infores:bspo,490
infores:genepio,9576
infores:foodon,43297
infores:hpo,57843
infores:nbo,10791
infores:bfo,29
infores:pathwhiz,8257672
infores:dda,355
infores:diseases,1474647
infores:omim,298989
infores:disgenet,332753
infores:ncbi-gene,197223
infores:ehdaa2,13094
infores:pr,704274
infores:drugbank,2858734
infores:drugcentral,62410
infores:ro,868
infores:hmdb,1818579
infores:mesh,832233
infores:chebi,364381
infores:atc-codes-umls,7168
infores:nddf-umls,30774
infores:unichem,3416
infores:disease-ontology,29868
infores:ensembl-gene,2411741
infores:mi,1640
infores:intact,477498
infores:biolink-ontology,981
infores:hgnc,36
