source_type,predicate,target_type,edge_count
biolink:Protein,biolink:coexpressed_with,biolink:Protein,9195368
biolink:OrganismTaxon,biolink:subclass_of,biolink:OrganismTaxon,3410472
biolink:Pathway,biolink:has_participant,biolink:SmallMolecule,2917508
biolink:Pathway,biolink:occurs_in,biolink:CellularComponent,2548749
biolink:SmallMolecule,biolink:affects,biolink:Protein,2536031
biolink:Protein,biolink:expressed_in,biolink:GrossAnatomicalStructure,1843963
biolink:Protein,biolink:physically_interacts_with,biolink:Protein,1843251
biolink:Protein,biolink:gene_associated_with_condition,biolink:Disease,1608330
biolink:Pathway,biolink:occurs_in,biolink:OrganismTaxon,1561546
biolink:SmallMolecule,biolink:related_to,biolink:Protein,1227146
biolink:GrossAnatomicalStructure,biolink:expressed_in,biolink:Protein,1221226
biolink:Drug,biolink:interacts_with,biolink:Drug,1120691
biolink:Protein,biolink:directly_physically_interacts_with,biolink:Protein,1084656
biolink:Protein,biolink:interacts_with,biolink:Protein,1047859
biolink:Pathway,biolink:has_participant,biolink:Transcript,1043151
biolink:Drug,biolink:directly_physically_interacts_with,biolink:Drug,954451
biolink:Protein,biolink:affects,biolink:Protein,814829
biolink:Pathway,biolink:has_participant,biolink:MolecularActivity,754657
biolink:Protein,biolink:subclass_of,biolink:Protein,734823
biolink:Protein,biolink:associated_with,biolink:Disease,711893
biolink:OrganismTaxon,biolink:close_match,biolink:OrganismTaxon,633575
biolink:Disease,biolink:has_phenotype,biolink:PhenotypicFeature,610162
biolink:Protein,biolink:actively_involved_in,biolink:BiologicalProcess,608616
biolink:SmallMolecule,biolink:interacts_with,biolink:Drug,562353
biolink:Drug,biolink:interacts_with,biolink:SmallMolecule,561725
biolink:Drug,biolink:affects,biolink:Protein,535217
biolink:Drug,biolink:directly_physically_interacts_with,biolink:SmallMolecule,466385
biolink:SmallMolecule,biolink:directly_physically_interacts_with,biolink:Drug,466382
biolink:Protein,biolink:affects,biolink:SmallMolecule,458001
biolink:Protein,biolink:expressed_in,biolink:AnatomicalEntity,448439
biolink:SmallMolecule,biolink:subclass_of,biolink:ChemicalEntity,424668
biolink:PhenotypicFeature,biolink:has_phenotype,biolink:Disease,422876
biolink:MolecularActivity,biolink:has_output,biolink:SmallMolecule,413829
biolink:Disease,biolink:coexists_with,biolink:Disease,393231
biolink:Drug,biolink:treats_or_applied_or_studied_to_treat,biolink:Disease,393186
biolink:Pathway,biolink:has_participant,biolink:Drug,389162
biolink:SmallMolecule,biolink:interacts_with,biolink:SmallMolecule,355819
biolink:Disease,biolink:has_phenotype,biolink:Disease,346804
biolink:MolecularActivity,biolink:has_input,biolink:SmallMolecule,344115
biolink:GeneFamily,biolink:actively_involved_in,biolink:BiologicalProcess,338147
biolink:Protein,biolink:in_taxon,biolink:OrganismTaxon,331361
biolink:Protein,biolink:affects,biolink:BiologicalProcess,313004
biolink:Pathway,biolink:has_participant,biolink:Protein,312182
biolink:Protein,biolink:related_to,biolink:Protein,308439
biolink:BiologicalProcess,biolink:has_participant,biolink:Transcript,300143
biolink:Disease,biolink:subclass_of,biolink:Disease,284805
biolink:Procedure,biolink:treats_or_applied_or_studied_to_treat,biolink:Disease,282707
biolink:Protein,biolink:regulates,biolink:Protein,281090
biolink:SmallMolecule,biolink:directly_physically_interacts_with,biolink:SmallMolecule,279537
biolink:Transcript,biolink:subclass_of,biolink:OrganismTaxon,269904
biolink:Protein,biolink:located_in,biolink:GrossAnatomicalStructure,248045
biolink:Disease,biolink:associated_with,biolink:Protein,247158
biolink:Protein,biolink:located_in,biolink:Cell,237139
biolink:Procedure,biolink:subclass_of,biolink:Procedure,236821
biolink:Protein,biolink:homologous_to,biolink:Protein,230465
biolink:Protein,biolink:coexists_with,biolink:Protein,223183
biolink:Protein,biolink:located_in,biolink:CellularComponent,222670
biolink:Gene,biolink:subclass_of,biolink:OrganismTaxon,222010
biolink:Protein,biolink:located_in,biolink:OrganismTaxon,211432
biolink:AnatomicalEntity,biolink:expressed_in,biolink:Protein,208888
biolink:Protein,biolink:located_in,biolink:AnatomicalEntity,205137
biolink:AnatomicalEntity,biolink:subclass_of,biolink:AnatomicalEntity,197195
biolink:Procedure,biolink:diagnoses,biolink:Disease,195721
biolink:Disease,biolink:located_in,biolink:GrossAnatomicalStructure,195173
biolink:Disease,biolink:superclass_of,biolink:Disease,186126
biolink:BiologicalProcess,biolink:subclass_of,biolink:BiologicalProcess,184001
biolink:GrossAnatomicalStructure,biolink:regulates,biolink:Protein,182501
biolink:SmallMolecule,biolink:regulates,biolink:Protein,168152
biolink:Protein,biolink:affects,biolink:Disease,167230
biolink:Protein,biolink:has_phenotype,biolink:PhenotypicFeature,166726
biolink:GeneFamily,biolink:located_in,biolink:CellularComponent,166373
biolink:Transcript,biolink:transcribed_from,biolink:Protein,165892
biolink:Protein,biolink:catalyzes,biolink:MolecularActivity,162400
biolink:Disease,biolink:located_in,biolink:AnatomicalEntity,160412
biolink:Protein,biolink:genetically_associated_with,biolink:Disease,156754
biolink:Disease,biolink:occurs_in,biolink:Cohort,156176
biolink:Disease,biolink:causes,biolink:Disease,154252
biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,biolink:Disease,153297
biolink:ChemicalEntity,biolink:affects,biolink:Protein,150169
biolink:PhenotypicFeature,biolink:coexists_with,biolink:Disease,148365
biolink:OrganismTaxon,biolink:has_part,biolink:Protein,142913
biolink:CellularComponent,biolink:has_part,biolink:Protein,142019
biolink:Gene,biolink:expressed_in,biolink:GrossAnatomicalStructure,140594
biolink:Protein,biolink:genetically_interacts_with,biolink:Protein,140214
biolink:Protein,biolink:related_to,biolink:BiologicalProcess,139793
biolink:BiologicalProcess,biolink:has_participant,biolink:Protein,138569
biolink:Drug,biolink:causes,biolink:Disease,132445
biolink:Protein,biolink:interacts_with,biolink:BiologicalProcess,130438
biolink:BiologicalProcess,biolink:interacts_with,biolink:Protein,130438
biolink:MolecularActivity,biolink:occurs_in,biolink:CellularComponent,129462
biolink:MolecularActivity,biolink:has_participant,biolink:Protein,128846
biolink:Protein,biolink:causes,biolink:Disease,127813
biolink:SmallMolecule,biolink:subclass_of,biolink:SmallMolecule,126936
biolink:Protein,biolink:gene_associated_with_condition,biolink:PhenotypicFeature,125128
biolink:PhenotypicFeature,biolink:subclass_of,biolink:PhenotypicFeature,119189
biolink:Disease,biolink:coexists_with,biolink:PhenotypicFeature,116613
biolink:Disease,biolink:occurs_in,biolink:OrganismTaxon,116484
biolink:Protein,biolink:interacts_with,biolink:ChemicalEntity,113764
biolink:Procedure,biolink:treats_or_applied_or_studied_to_treat,biolink:PhenotypicFeature,112344
biolink:GeneFamily,biolink:catalyzes,biolink:MolecularActivity,109221
biolink:AnatomicalEntity,biolink:has_part,biolink:AnatomicalEntity,108748
biolink:ChemicalEntity,biolink:interacts_with,biolink:Protein,108454
biolink:Protein,biolink:interacts_with,biolink:Drug,107051
biolink:SmallMolecule,biolink:located_in,biolink:AnatomicalEntity,105977
biolink:Drug,biolink:has_adverse_event,biolink:Disease,105973
biolink:Drug,biolink:interacts_with,biolink:Protein,105713
biolink:Protein,biolink:related_to,biolink:CellularComponent,104702
biolink:Disease,biolink:occurs_in,biolink:PopulationOfIndividualOrganisms,104196
biolink:Transcript,biolink:transcribed_from,biolink:Gene,104034
biolink:Drug,biolink:treats_or_applied_or_studied_to_treat,biolink:PhenotypicFeature,103626
biolink:Protein,biolink:has_part,biolink:Protein,103516
biolink:Pathway,biolink:has_participant,biolink:ChemicalEntity,101834
biolink:BiologicalProcess,biolink:superclass_of,biolink:BiologicalProcess,101262
biolink:Protein,biolink:interacts_with,biolink:Cell,100571
biolink:PhenotypicFeature,biolink:manifestation_of,biolink:Disease,98927
biolink:Drug,biolink:causes,biolink:PhenotypicFeature,97806
biolink:Drug,biolink:interacts_with,biolink:ChemicalEntity,97781
biolink:ChemicalEntity,biolink:interacts_with,biolink:Drug,96870
biolink:Procedure,biolink:has_input,biolink:Protein,96721
biolink:Drug,biolink:directly_physically_interacts_with,biolink:Protein,95924
biolink:Pathway,biolink:occurs_in,biolink:NamedThing,94553
biolink:GrossAnatomicalStructure,biolink:expressed_in,biolink:Gene,93940
biolink:Protein,biolink:related_to,biolink:MolecularActivity,92561
biolink:Drug,biolink:affects,biolink:BiologicalProcess,91630
biolink:SmallMolecule,biolink:interacts_with,biolink:Protein,90090
biolink:PhenotypicFeature,biolink:located_in,biolink:GrossAnatomicalStructure,90047
